,Sentences,Label
863,place awesome want something light healthy summer,1
864,sushi strip place go,1
865,service great even manager came helped table,1
866,feel dining room college cooking course high class dining service slow best,0
867,started review two stars editing give one,0
868,worst sushi ever eat besides costco,0
869,excellent restaurant highlighted great service unique menu beautiful setting,1
870,boyfriend sat bar completely delightful experience,1
871,weird vibe owners,0
872,hardly meat,0
873,better bagels grocery store,0
874,go place gyros,1
875,love owner chef one authentic japanese cool dude,1
876,burgers good pizza used amazing doughy flavorless,0
877,found six inch long piece wire salsa,0
878,service terrible food mediocre,0
879,definately enjoyed,1
880,ordered albondigas soup warm tasted like tomato soup frozen meatballs,0
881,three different occasions asked well done medium well three times got bloodiest piece meat plate,0
882,two bites refused eat anymore,0
883,service extremely slow,0
884,minutes wait got table,0
885,seriously killer hot chai latte,1
886,allergy warnings menu waitress absolutely clue meals contain peanuts,0
887,boyfriend tried mediterranean chicken salad fell love,1
888,rotating beers tap also highlight place,1
889,pricing bit concern mellow mushroom,0
890,worst thai ever,0
891,stay vegas must get breakfast least,1
892,want first say server great perfect service,1
893,pizza selections good,1
894,strawberry tea good,1
895,highly unprofessional rude loyal patron,0
896,overall great experience,1
897,spend money elsewhere,0
898,regular toasted bread equally satisfying occasional pats butter mmmm,1
899,buffet bellagio far anticipated,0
900,drinks weak people,0
901,also feel like chips bought made house,0
902,disappointing dinner went elsewhere dessert,0
903,chips sals amazing,1
904,returning,0
905,new fav vegas buffet spot,1
906,seriously cannot believe owner many unexperienced employees running around like chickens heads cut,0
907,sad,0
908,felt insulted disrespected could talk judge another human like,0
909,call steakhouse properly cook steak understand,0
910,impressed concept food,0
911,thing crazy guacamole like pur ed,0
912,really nothing postinos hope experience better,0
913,got food poisoning buffet,0
914,brought fresh batch fries thinking yay something warm,0
915,hilarious yummy christmas eve dinner remember biggest fail entire trip us,0
916,needless say going back anytime soon,0
917,place disgusting,0
918,every time eat see caring teamwork professional degree,1
919,ri style calamari joke,0
920,however much garlic fondue barely edible,0
921,could barely stomach meal complain business lunch,0
922,bad lost heart finish,0
923,also took forever bring us check asked,0
924,ones make scene restaurants get definitely lost love one,0
925,disappointing experience,0
926,food par denny say good,0
927,want wait mediocre food downright terrible service place,0
928,waaaaaayyyyyyyyyy rated saying,0
929,going back,0
930,place fairly clean food simply worth,0
931,place lacked style,0
932,sangria half glass wine full ridiculous,0
933,bother coming,0
934,meat pretty dry sliced brisket pulled pork,0
935,building seems pretty neat bathroom pretty trippy eat,0
936,equally awful,0
937,probably hurry go back,0
938,slow seating even reservation,0
939,good stretch imagination,0
940,cashew cream sauce bland vegetables undercooked,0
941,chipolte ranch dipping sause tasteless seemed thin watered heat,0
942,bit sweet really spicy enough lacked flavor,0
943,disappointed,0
944,place horrible way overpriced,0
945,maybe vegetarian fare twice thought average best,0
946,busy know,0
947,tables outside also dirty lot time workers always friendly helpful menu,0
948,ambiance feel like buffet setting douchey indoor garden tea biscuits,0
949,con spotty service,0
950,fries hot neither burger,0
951,came back cold,0
952,food came disappointment ensued,0
953,real disappointment waiter,0
954,husband said rude even apologize bad food anything,0
955,reason eat would fill night binge drinking get carbs stomach,0
956,insults profound deuchebaggery go outside smoke break serving solidify,0
957,someone orders two tacos think may part customer service ask combo ala cart,0
958,quite disappointed although blame needs placed door,0
959,rave reviews wait eat disappointment,0
960,del taco pretty nasty avoided possible,0
961,hard make decent hamburger,0
962,like,0
963,hell go back,0
964,gotten much better service pizza place next door services received restaurant,0
965,know big deal place back ya,0
966,immediately said wanted talk manager want talk guy shots fireball behind bar,0
967,ambiance much better,0
968,unfortunately set us disapppointment entrees,0
969,food good,0
970,servers suck wait correction server heimer sucked,0
971,happened next pretty putting,0
972,bad cause know family owned really wanted like place,0
973,overpriced getting,0
974,vomited bathroom mid lunch,0
975,kept looking time soon become minutes yet still food,0
976,places eat circumstances would ever return tops list,0
977,started tuna sashimi brownish color obviously fresh,0
978,food average,0
979,sure beat nachos movies would expect little bit coming restaurant,0
980,ha long bay bit flop,0
981,problem charge sandwich bigger subway sub offers better amount vegetables,0
982,shrimp unwrapped live mile brushfire literally ice cold,0
983,lacked flavor seemed undercooked dry,0
984,really impressive place closed,0
985,would avoid place staying mirage,0
986,refried beans came meal dried crusty food bland,0
987,spend money time place else,0
988,lady table next us found live green caterpillar salad,0
989,presentation food awful,0
990,tell disappointed,0
991,think food flavor texture lacking,0
992,appetite instantly gone,0
993,overall impressed would go back,0
994,whole experience underwhelming think go ninja sushi next time,0
995,wasted enough life poured salt wound drawing time took bring check,0
996,slow moving aimless movie distressed drifting young man,0
997,sure lost flat characters audience nearly half walked,0
998,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost non existent,0
999,little music anything speak,0
1000,best scene movie gerardo trying find song keeps running head,1
1001,rest movie lacks art charm meaning emptiness works guess empty,0
1002,wasted two hours,0
1003,saw movie today thought good effort good messages kids,1
1004,bit predictable,0
1005,loved casting jimmy buffet science teacher,1
1006,baby owls adorable,1
1007,movie showed lot florida best made look appealing,1
1008,songs best muppets hilarious,1
1009,cool,1
1010,right case movie delivers everything almost right face,1
1011,average acting main person low budget clearly see,0
1012,review long overdue since consider tale two sisters single greatest film ever made,1
1013,put gem movie terms screenplay cinematography acting post production editing directing aspect film making,1
1014,practically perfect true masterpiece sea faux masterpieces,1
1015,structure film easily tightly constructed history cinema,1
1016,think film something vitally important occurs every minute,1
1017,words content level film enough easily fill dozen films,1
1018,anyone right mind ask anything movie,1
1019,quite simply highest superlative form cinema imaginable,1
1020,yes film require rather significant amount puzzle solving pieces fit together create beautiful picture,1
1021,short film certainly pulls punches,0
1022,graphics far best part game,0
1023,number one best th game series,1
1024,deserves strong love,1
1025,insane game,1
1026,massive levels massive unlockable characters massive game,1
1027,waste money game,1
1028,kind money wasted properly,1
1029,actually graphics good time,1
1030,today graphics crap,0
1031,say canada fun game aye,1
1032,game rocks,1
1033,buy play enjoy love,1
1034,pure brilliance,1
1035,flick doomed conception,0
1036,idea lame take minor character mediocre pg film make complete non sequel changing tone pg rated family movie,0
1037,least bit interested,0
1038,confirm film would unfunny generic also managed give away entire movie exaggerating every moment every plot point every joke told trailer,0
1039,funny,0
1040,even talented carrell save,0
1041,co stars fare much better people like morgan freeman jonah hill ed helms wasted,0
1042,story predictable lazy,0
1043,real effects work presence animals integration scenes worst obvious blue green screen work ever seen,0
1044,whatever cost much translate quality sure,0
1045,film succeeds despite perhaps obviously meagre budget,1
1046,glad film go obvious choice lesser film certainly would,1
1047,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,1
1048,hard fall head heels love girl,1
1049,negative insipid enough cause regret another hours life wasted front screen,0
1050,long whiny pointless,0
1051,recommend waiting future efforts let one go,0
1052,excellent cast story line performances,1
1053,totally believable,1
1054,anne heche utterly convincing,1
1055,sam shepard portrayal gung ho marine sobering,1
1056,sat riveted tv screen,1
1057,give one resounding,1
1058,think tom hanks good actor,1
1059,enjoyed reading book children little,1
1060,disappointed movie,0
1061,one character totally annoying voice gives feeling fingernails chalkboard,0
1062,totally unnecessary train roller coaster scene,0
1063,absolutely warmth charm scenes characters,0
1064,movie totally grates nerves,0
1065,performances improved improvisation actors twice much worry whether delivering line well whether line good,0
1066,quite honestly often good,0
1067,often dialogue really follow one line another fit surroundings,0
1068,crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly,0
1069,generally great things,1
1070,say worth hours time though,0
1071,suspense builders good cross line g pg,1
1072,especially liked non cliche choices parents movies could predict dialog verbatim writing movie made better selections,1
1073,want movie gross gives chills great choice,1
1074,alexander nevsky great film,1
1075,amazing film artist one important whoever lived,1
1076,glad pretentious piece planned dodge stratus big shots gonna help movie makers restrained movie business qu bec,0
1077,first movie given years,1
1078,ever movie needed word mouth promote,1
1079,overall film interesting thought provoking,1
1080,plus well paced suited relatively short run time,1
1081,give one look,1
1082,gave,1
1083,wind lion well written superbly acted,1
1084,true classic,1
1085,actually turned pretty decent far b list horror suspense films go,1
1086,definitely worth checking,1
1087,problem script,0
1088,horrendous,0
1089,nothing believable,0
1090,suspense feeling frustration retarded girls,0
1091,manna heaven terrific film predictable unpredictable time,1
1092,scenes often funny occasionally touching characters evaluate lives going,1
1093,cast veteran actors nostalgia trip,1
1094,ursula burton portrayal nun touching funny time making fun nuns church,1
1095,looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try,1
1096,think disappointed,1
1097,frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0
1098,acting bad dialogs extremely shallow insincere,0
1099,predictable even chick flick,0
1100,politically correct,0
1101,disappointing,0
1102,thing really worth watching scenery house beautiful,1
1103,love lane never seen movie lousy,0
1104,hour half wish could bring back,0
1105,terms writing fresh bold,1
1106,acting helps writing along well maybe idiot savant sister could played better real joy watch,1
1107,directing cinematography quite good,0
1108,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0
1109,sometimes embarrassing look away,0
1110,directing seems pretentious,0
1111,scenes oh mature neighbour girl misplace,0
1112,generally lines plot weaker average episode,0
1113,scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0
1114,applause given prelude however,1
1115,really liked,1
1116,great film great director,1
1117,movie edge seat made somewhat afraid go car end night,1
1118,music film really nice,1
1119,advise anyone go see,1
1120,brilliant,1
1121,liked movie way much,1
1122,problem thought actor playing villain low rent michael ironside,0
1123,rocked world certainly must see anyone social physical outlets,1
1124,however make fact overall tremendously boring movie,0
1125,chemistry ben affleck sandra bullock film understand would consider even leaving wife chick supposedly knocked,0
1126,several moments movie need excruciatingly slow moving,0
1127,poor remake best friends wedding,0
1128,great disappointment,0
1129,cannot believe actors agreed film,0
1130,could stand even watch long fear losing q,0
1131,guess nobody network aired dribble watched putting,0
1132,imdb ratings go low awful time get negative numbers cases,0
1133,saw mirrormask last night unsatisfactory experience,0
1134,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0
1135,central themes film handled ineptly stereotypically depth imagination,0
1136,pretty pictures world cannot make piece work flawed core,0
1137,hour half waste time following bunch pretty high schoolers whine cry life,0
1138,relate hell barely understand,0
1139,definitely cult classic well worth viewing sharing others,1
1140,movie pure disaster story stupid editing worst seen confuses incredibly,0
1141,fish badly made underwater shots repeated thousand times film,0
1142,truly truly bad film,0
1143,acting terrible writing worse,0
1144,possible way movie could redeemed would mst k fodder,0
1145,paid much,0
1146,also real treat see anthony quinn playing crazy horse,1
1147,boring,0
1148,plot whatsoever,0
1149,plot,0
1150,horrible,0
1151,worst hour half life oh gosh,0
1152,walk theatre minutes get relief,0
1153,hate movies like,0
1154,yeah movie pretty much sucked,0
1155,plot storyline,0
1156,go see movie bring pillow girlfriend boyfriend keep occupied,0
1157,awful,0
1158,think ever gone movie disliked much,0
1159,good thing tickets cost five dollars would mad paid see crap,0
1160,nobody identifies characters cardboard cutouts stereotypes predictably reverse stereotypes,0
1161,bad film bad writing good actors ugly cartoon crafted paul haggis people handle anything bold strokes storytelling picture painted crayons,0
1162,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,0
1163,still like movie empowerment women enough movies like one,1
1164,brain attempt shut part primal impulse self preservation,0
1165,left shattered experience watching film took good two hours fully recover,0
1166,movie joins revenge boogeyman zombiez part hellish trinity horror films,0
1167,certainly mean distinction good way,0
1168,mean terrible way,0
1169,film redeeming features,0
1170,everything appalling,0
1171,artless camera work endlessly presents us ugliest setting imaginable e,0
1172,story beyond stupid,0
1173,script script,0
1174,kids annoying,0
1175,lead man charisma free,0
1176,utterly without merit level akin torture,0
1177,even say torture,0
1178,maybe would reasonable explanation atrocity,0
1179,pleasant voyage self discovery,0
1180,highly unrecommended,0
1181,premise sound stupid,0
1182,yes bad,0
1183,nothing recommend,0
1184,excellent performance ms,1
1185,garbo showed right bat talents could carry silent era wanted see silent work netflix seem stocking,1
1186,also great see renowned silent screenwriter frances marion missed step going silent sound,1
1187,movie suffered writing needed suspense,0
1188,many close ups,0
1189,movie seemed drag heroes really work freedom,0
1190,movie definitely average rent,0
1191,love,1
1192,movie bad,0
1193,bad,0
1194,film way long,0
1195,definitely one bad ones,0
1196,movie received great quality film age,1
1197,john wayne incredible job young movie industry,1
1198,screen presence shined thought even though senior actors screen,1
1199,think must see older john wayne film,1
1200,really see anyone could enjoy movie,0
1201,think ever seen movie half boring self indulgent piece junk,0
1202,probably would better director spent movie showcasing art work really noteworthy,0
1203,another thing really like character got punched face gallon blood would spew forth soon,0
1204,jamie foxx absolutely ray charles,1
1205,performance simply genius,1
1206,owns film spacek owned coal miner daughter quaid owned great balls fire,1
1207,fact hard remember part ray charles acted played man,1
1208,ray charles legendary,1
1209,ray charles life provided excellent biographical material film goes well beyond another movie musician,1
1210,hitchcock great director,1
1211,ironically mostly find films total waste time watch,0
1212,secondly hitchcock pretty much perfected thriller chase movie,1
1213,pandering audience sabotages films,0
1214,hence whole story lacks certain energy,0
1215,plot simply rumbles like machine desperately depending addition new scenes,0
1216,usual hitchcock logic flaws,0
1217,mishima extremely uninteresting,0
1218,chilly unremarkable movie author living working chilly abstruse culture,0
1219,flat reenactments hold attention emotionally adrift stagy,0
1220,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc,0
1221,bore pieces kill momentum movie quicker anyone else,0
1222,schrader made resume full lousy amateurish films,0
1223,first watched movie loved,1
1224,totally fascinated music dancing everything,1
1225,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing,0
1226,mean realistic world would never gotten ballet repertory whole thing quite pathetic,0
1227,character developments also lacked depth,0
1228,woa talk awful,0
1229,waste time,0
1230,horrible,0
1231,worst sappiest dialogue could go,0
1232,really made unwatchable direction,0
1233,poor actors,0
1234,even tell talent pathetic lines speak director gave action,0
1235,check director filmography site see film chance,0
1236,would even good made tv flick,0
1237,good intentions made film great film might one greatest films ever made,1
1238,film great actors master director significant theme least would significant theme undertone fifties existential world weariness aerial scenes ought thrilled senses imagination characters one might deeply care,1
1239,regrettably film fails,0
1240,movie lacks visual interest drama expression feeling celebration patriotism underlines narrative,0
1241,actress worse used june allison movie,0
1242,yet enjoy watching,1
1243,unfortunately bad movie plain bad,0
1244,bad script bad direction horrible acting make one plain bad,0
1245,dialogue sucked,0
1246,cinematography called sucked,0
1247,soundtrack sucked,0
1248,acting sucked,0
1249,concert sequences sucked,0
1250,nice,1
1251,funny,1
1252,funny,1
1253,overall movie cheap trash,0
1254,movie funny considering ridiculousness,0
1255,came feeling angry,0
1256,spoilers whatever else said surface superbly crafted,1
1257,cinematography simply stunning say least fx nothing state art,1
1258,conceptually show offers little bit everything everybody parents kids fantasy fx fans,1
1259,single sour note struck acting wise either surprisingly solid casting,1
1260,things considered job well done,1
1261,thanks good movie like done released,1
1262,one best mexican movies ever one less understood even mexican matter identified felt,1
1263,ranks highly great noir crime drama incredible performances belmondo lino ventura,1
1264,attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous,1
1265,excellent drama excellent thriller excellent film,1
1266,best melville,1
1267,everything film simply incredible,1
1268,truly take journey eyes soul child,1
1269,black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience,1
1270,performances real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous,1
1271,thoroughly enjoyed christopher eccleston took control tardis continuation series,1
1272,sure trying film,0
1273,turn good day feeling night disturbing memories guess succeeded,0
1274,lot beautiful places,1
1275,forced like everything movie,0
1276,lame,0
1277,movie really pi ed,0
1278,even get started jerky camerawork,0
1279,saw theater thought going sick,0
1280,summary witticisms witty,0
1281,plot well said let one go,0
1282,acting bad,0
1283,really bad,0
1284,even billy bob rise script worse,0
1285,camerawork bad,0
1286,rating,0
1287,amazing finale possibly best trilogy time,1
1288,kieslowski never ceases amaze,1
1289,one favourite directors one talented directors history cinema,1
1290,use colours french flag three films nothing short incredible every shot every scene like work art,1
1291,three visually appealing movies ever seen,1
1292,subtle connections three films awesome,1
1293,mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years,1
1294,think better way end film smile face great way wrap amazing film trilogy,1
1295,recommend everyone loves film movies anything work art,1
1296,movie trilogy,1
1297,literally vomited watching film,0
1298,think one people found another one roth pearls,1
1299,performance awarded stunning,1
1300,story told eloquently francis ford coppola years earlier really unfolds gradually leaves room characters develop,1
1301,wonderful location lies story contrast,1
1302,beautiful directed film nicola roeg wih sublime cast,1
1303,translating movies living first movie year working experience found offensive intelligence,0
1304,someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0
1305,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things,0
1306,one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character much,0
1307,fun funny movie,1
1308,highly entertaining angles,1
1309,features outlandish array memorable psychotic lovable nuts,1
1310,enjoyment get see run around play games dangerous,1
1311,even sweet moments,1
1312,telephone repair man really funny reactions nuts bitchy boss truly genuine,1
1313,characters film tremendously well played,1
1314,really find funny,1
1315,actually smart movie,1
1316,brilliant twist ending,1
1317,love,1
1318,ending perfect shed tear,1
1319,thrilled seeing movie like,1
1320,never forget,1
1321,cult cult classic,1
1322,depth character man underneath,0
1323,malta settings dry barren dialogue,0
1324,movie terrible,0
1325,hockey scenes terrible defensemen playing like years old goalies diving shots feet wide net etc,0
1326,seen waste time,0
1327,call movie drama ridiculous,0
1328,started watching believe characters,0
1329,particular relationship bakery assistant waitress work,0
1330,superficial movie gave feeling watching play rather film,0
1331,characters stagey storyline lot like stage farce,0
1332,time pyromaniac waylaid assistant bored care happened next switched,0
1333,glad pay see,0
1334,laugh even smile,0
1335,anything one big yawn,0
1336,really good show watch,1
1337,educational children years old,1
1338,barney definitely super de duper,1
1339,pretty funny,1
1340,babie bop cute,1
1341,kids cool,1
1342,storm trooper even bad enough make list wonderfully terrible movies,0
1343,lame,0
1344,guy said better dialogue potted plants right,0
1345,everything movie stupid,0
1346,even love bad movies watch movie,0
1347,shameful,0
1348,would give television series plus could,1
1349,writers smack think best actors actresses bonus show characters real,1
1350,must say taped episodes find watching,1
1351,know gave,1
1352,know exactly movie latched endearing movie become special part family memories,1
1353,totally absolutely recommend movie anyone likes good wholesome family movies exactly,1
1354,things four kids get absolutely hilarious watch,1
1355,one best movies shows strong sibling bond,1
1356,much interesting action suspense less unneeded controversy,1
1357,everything acting cinematography solid,1
1358,definitely worth checking,1
1359,damian talented versatile many ways writing portraying different characters screen,1
1360,movie cutting edge,1
1361,pleased know modern day genius letting passion art drive taking us audience,1
1362,new characters memorable found forgetting,0
1363,felt though going ireland absolutely nothing whatsoever,0
1364,make scared horrified make sympathetic towards characters simply annoying,0
1365,jerky camera movements also annoying,0
1366,plot pretty much every cheap horror,0
1367,pathetic attempts give characters depth really work rest plot,0
1368,guess supposed clever twist shed light situation stupid,0
1369,see probably leave shelf,0
1370,elias koteas jack palance play good roles angelina hot gets naked billy drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget,1
1371,awesome movie bought ebay,1
1372,really loved story line poler bear kinda cute anyone question fort steele ask away,1
1373,totally unfunny movie top pathetic unrealistic throughout whole minutes utter torture probably looked watch times,0
1374,lucy bell much higher crap sink low quite depressing,0
1375,movie make sick watching slackers make excuses stupid actions minutes,0
1376,god never get minutes back,0
1377,think wonderful parts literally full wonder excerpts works,1
1378,sets especially designed work camera amazing stylized beautiful effective,1
1379,could used exemplars set designer,1
1380,stories powerful explorations nature man art,1
1381,watching film wanted learn works artist,1
1382,highly recommend movie anyone interested art poetry theater politics japanese history,1
1383,wind lion see wonderful rendering america imperial age,1
1384,makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,1
1385,though wind lion told largely eyes son every member family identify one characters whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless lieutenant roosevelt big stick,1
1386,high adventure best,1
1387,think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone affected second world war made worse,1
1388,humour get get day apt,1
1389,mother brother saw robert ryan portraying type man good imitation type individual impressed,1
1390,almost songs cover girl old fashioned tuneful,0
1391,annoying thing cover girl way rita hayworth put pedestal,0
1392,unfortunately cover girl example hollywood used exploit women financial gain,0
1393,non linear narration thus many flashbacks every part articulated quite well,1
1394,good cinematography also makes monica bellucci look beautiful,1
1395,good commentary today love undoubtedly film worth seeing,1
1396,people first timers film making think excellent job,1
1397,popular cinema good house good reactions plenty laughs,1
1398,feel good film felt came cinema,1
1399,northern humour positive community represents,1
1400,rather enjoyed,1
1401,liked,1
1402,take seriously,0
1403,really created unique feeling though,1
1404,vivian schilling excellent job script,1
1405,world better garbage theatres today,1
1406,role played well,1
1407,screamy masculine right,1
1408,camera really likes movie,1
1409,would casted role ready script,1
1410,european movie nice throwback time student experiences living abroad interacting nationalities although circumstances slightly different,1
1411,fan movie sucked really bad,0
1412,even worse ticker,0
1413,movie bad,0
1414,like buildings used couple locations maybe poor hummh,0
1415,blew,0
1416,movie excellent angel beautiful scamp adorable little yelps hes scared funniest parts scamp caught curtain angel scamp singing ive never feeling totally recommend movie coming special edition june cover scamp garbage angel underneath lid,1
1417,cant explain movie romantic charming hilarious adorable junkyard scenes funny junkyard dogs something special funny laughed kids love buy comes new features,1
1418,chosen tortured disgusting piece blatant american propaganda,0
1419,show made americans stupid full hatred clich admitted elsewhere,0
1420,almost everyone involved must return school acting utterly predictable bad script pile garbage round,0
1421,wish could enter negative values admins,0
1422,sets bad look place thunderbirds episode,0
1423,use slow motion needlessly repeats throughout movie well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity,0
1424,oh yeah storyline pathetic,0
1425,hate writing bad reviews films especially really like star film bad believe one second anyone could proud,0
1426,filmmaker director would hide head sand spent whatever amount money time movie,0
1427,short monumental waste time energy would recommend anyone ever see film,0
1428,came free dvd player bought still turned thing halfway embarrassed howell,0
1429,setting,0
1430,interesting premise billy drago always good dangerous nut bag side note love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones,1
1431,soundtrack terrible either,1
1432,acting even professionals drago debbie rochon terrible directing worse perhaps contributory former dialog chimp like camera work barely tolerable,0
1433,still sets got big oy vey scale,1
1434,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation,0
1435,good jobs quite amusing,1
1436,convoluted plot convince much film watched weird questioning glance,0
1437,let girlfriend talk seeing bad idea hated,0
1438,last minutes movie also bad well,1
1439,bela lugosi totally extraneous intoning odd lines,0
1440,acting decidely wooden though worse period universal b movie,0
1441,like armand assante cable company summary sounded interesting watched twice already probably,1
1442,believe screenwriter good job tying loose ends,1
1443,score mostly plot,1
1444,say like spoilers want one believe film worth time,1
1445,wow bad film,0
1446,frightening least barely comprehensible,0
1447,plot hang together acting absolutely appalling,0
1448,even good camp value,0
1449,expecting oscar material,0
1450,iq particularly stupid mollusk see one coming,0
1451,film use word loosely insult movie going public,0
1452,someone involved knew string together narrative,0
1453,gets simply nothing lower,0
1454,one watched recently fox movie channel disappointed,0
1455,know contract player little control scripts acting bad script,0
1456,victor mclaglen even bad brian donlevy almost unrecognizable,0
1457,considering relations screen taylor stanwyck surprising little chemistry screen two,0
1458,premise film ridiculous president u,0
1459,death row scenes entirely unmoving,0
1460,thing worse taylor acting stanwyck singing,0
1461,whatever producer going missed entirely,0
1462,deeply impressed character played,1
1463,knew saw film great things come gifted actor,1
1464,cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clich thrown abandoned factory ready poorly executed flying judo rolls la john woo,0
1465,even squibs look awful,0
1466,point proceedings look remotely like america,0
1467,plot derivative predictable ending like mercy killing,0
1468,awful dialogue hopeless overacting everyone gets shot top real waste space time,0
1469,uneasy bad movie scared,0
1470,dialogue composed things make little sense,0
1471,minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudo satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words,0
1472,directing sloppy best,0
1473,hackneyed writing certainly made even worse bad directing,0
1474,course acting blah,0
1475,acting whole cast could put scale balanced perfectly overacting underacting,0
1476,finally get ending would great handled competent people jerry falwell,0
1477,loved movie great portrayal family share ups end knew special love,1
1478,seen many movies starring jaclyn smith god one best though came years ago,1
1479,movie contained star cast loved opened eyes see actors seen,1
1480,movie kind long length enjoyed every minute,1
1481,overall rate movie scale,1
1482,lifetime air enough anyone knows store sells let know must,1
1483,particularly remember senses assaulted strident cords music would blare little warning even less meaning,0
1484,sort pap screened afternoon punish unemployed jobs,0
1485,totally different loads understatement black comedy film get see remember,1
1486,movie creates universe fascinating every way,1
1487,movie really got,1
1488,see,1
1489,really hope team behind movie makes movies continue kinda weird style,1
1490,forgot casting superb trond fausa aurv g perfect role bothersome man understand,1
1491,movie good humorous comment life,1
1492,found move beautiful enjoyable uplifting,1
1493,initially local sites film filmed buffalo intrigued,1
1494,later found lost power film,1
1495,entire audience applauded conclusion film,1
1496,left theater lilt step joy heart hope human race,1
1497,duris wholesome appearance gives fine performance,1
1498,rest cast also play well,1
1499,cinematography noteworthy including fine views barcelona famed gaudi towers,1
1500,ten minutes film started second thoughts,0
1501,half way film started dislike,0
1502,time film ended disliked despised,0
1503,film lacks convincing script,0
1504,script looks rough draft written shooting began finished script completed,0
1505,things happen characters personalities change plot twists occur real reason script calls,0
1506,cast good,1
1507,worth checking,1
1508,probably irritating show ever seen entire life,0
1509,indescribably annoying idiotic show ever seen,0
1510,everything bad,0
1511,could understand kind idiot would produce mess first place mention several season,0
1512,script bad bad contains cheesiness unethical joke normally see rated r nc movie,0
1513,casting also horrible cause see really really bad actors period,0
1514,final word show real torture,0
1515,zillion times away reality,0
1516,watching washing machine twirling around hurt eyes much show,0
1517,rating grade z note show bad even mother cast pull daughter show,0
1518,th century fox road house quite silly noir implausible unmitigated bore movie,0
1519,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,0
1520,widmark character turns unintentionally comical,0
1521,losing marbles early proceedings totally implausible unconvincing,0
1522,enough mess movie picture also marred constant use studio sets indoor exteriors,0
1523,whatever prompted documentary beyond,0
1524,serious spoilers movie huge disappointment,0
1525,many problems dont know start,0
1526,cast great,1
1527,steve martin delivers really funny performance middle aged upper class uptight white guy,1
1528,add betty white jean smart great cast everyone played parts really well,1
1529,movie makes lot serious mistakes,0
1530,first enough racial stereotypes racial jokes offend everyone,0
1531,movie littered overt racial slurs towards black cast members return whites depicted morons boobs,0
1532,putting race card aside lets look major flaw film destroy latifa character,0
1533,real plot,0
1534,wouldnt see movie free,0
1535,steamboat willie amazingly important film cinema history,1
1536,second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly ground breaking,1
1537,yet hear mickey speak tons sound effects music throughout film something take granted huge crowd pleaser,1
1538,however seeing short years amazed timeless film actually,1
1539,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,1
1540,clever real crowd pleaser film still ranks among mickey best films even wonderful years,1
1541,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,0
1542,terribly disappointed film would receive many awards accolades especially far deserving works film,0
1543,original body soul masterpiece,1
1544,john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographers ever grace screen james wong howe,1
1545,think redeeming qualities remake,0
1546,may bad film ever made,0
1547,bad well bad,0
1548,movie solid example bad plot bad idea way,0
1549,shame see good actors like thomerson james make living mess like,0
1550,thought bad,0
1551,films terrible credit version watchable,0
1552,let start problems acting especially lead professor bad,0
1553,script big flawed mess,0
1554,best example dumb writing established turn zombie students back humans removing necklace containing piece meteorite,0
1555,director paul matthews also wrote directed weak monster movie grim clearly know pace films,0
1556,movie terribly boring places,0
1557,lighting awful,0
1558,film looks cheap bland,0
